unq_id,timestamp,customer_no,location,revenue_per_minute,before
Cust_2019-09-02 07:09:00_no_7,2019-09-02 07:09:00,7,spices,3,spices
Cust_2019-09-02 07:10:00_no_12,2019-09-02 07:10:00,12,checkout,0,spices
Cust_2019-09-02 07:11:00_no_16,2019-09-02 07:11:00,16,checkout,0,checkout
Cust_2019-09-02 07:11:00_no_17,2019-09-02 07:11:00,17,fruit,4,checkout
Cust_2019-09-02 07:11:00_no_7,2019-09-02 07:11:00,7,fruit,4,fruit
Cust_2019-09-02 07:12:00_no_15,2019-09-02 07:12:00,15,checkout,0,fruit
Cust_2019-09-02 07:12:00_no_18,2019-09-02 07:12:00,18,fruit,4,checkout
Cust_2019-09-02 07:12:00_no_19,2019-09-02 07:12:00,19,spices,3,fruit
Cust_2019-09-02 07:12:00_no_20,2019-09-02 07:12:00,20,drinks,6,spices
Cust_2019-09-02 07:12:00_no_9,2019-09-02 07:12:00,9,fruit,4,drinks
Cust_2019-09-02 07:13:00_no_13,2019-09-02 07:13:00,13,spices,3,fruit
Cust_2019-09-02 07:13:00_no_19,2019-09-02 07:13:00,19,drinks,6,spices
Cust_2019-09-02 07:13:00_no_21,2019-09-02 07:13:00,21,drinks,6,drinks
Cust_2019-09-02 07:13:00_no_22,2019-09-02 07:13:00,22,fruit,4,drinks
Cust_2019-09-02 07:13:00_no_7,2019-09-02 07:13:00,7,checkout,0,fruit
Cust_2019-09-02 07:13:00_no_9,2019-09-02 07:13:00,9,checkout,0,checkout
Cust_2019-09-02 07:14:00_no_13,2019-09-02 07:14:00,13,dairy,5,checkout
Cust_2019-09-02 07:14:00_no_18,2019-09-02 07:14:00,18,dairy,5,dairy
Cust_2019-09-02 07:14:00_no_20,2019-09-02 07:14:00,20,checkout,0,dairy
Cust_2019-09-02 07:14:00_no_23,2019-09-02 07:14:00,23,fruit,4,checkout
Cust_2019-09-02 07:14:00_no_24,2019-09-02 07:14:00,24,drinks,6,fruit
Cust_2019-09-02 07:15:00_no_13,2019-09-02 07:15:00,13,fruit,4,drinks
Cust_2019-09-02 07:15:00_no_21,2019-09-02 07:15:00,21,spices,3,fruit
Cust_2019-09-02 07:15:00_no_22,2019-09-02 07:15:00,22,dairy,5,spices
Cust_2019-09-02 07:15:00_no_23,2019-09-02 07:15:00,23,checkout,0,dairy
Cust_2019-09-02 07:16:00_no_13,2019-09-02 07:16:00,13,checkout,0,checkout
Cust_2019-09-02 07:16:00_no_21,2019-09-02 07:16:00,21,checkout,0,checkout
Cust_2019-09-02 07:16:00_no_25,2019-09-02 07:16:00,25,spices,3,checkout
Cust_2019-09-02 07:16:00_no_26,2019-09-02 07:16:00,26,fruit,4,spices
Cust_2019-09-02 07:16:00_no_27,2019-09-02 07:16:00,27,spices,3,fruit
Cust_2019-09-02 07:16:00_no_28,2019-09-02 07:16:00,28,drinks,6,spices
Cust_2019-09-02 07:16:00_no_29,2019-09-02 07:16:00,29,drinks,6,drinks
Cust_2019-09-02 07:17:00_no_18,2019-09-02 07:17:00,18,checkout,0,drinks
Cust_2019-09-02 07:17:00_no_22,2019-09-02 07:17:00,22,checkout,0,checkout
Cust_2019-09-02 07:17:00_no_25,2019-09-02 07:17:00,25,dairy,5,checkout
Cust_2019-09-02 07:17:00_no_30,2019-09-02 07:17:00,30,spices,3,dairy
Cust_2019-09-02 07:17:00_no_31,2019-09-02 07:17:00,31,spices,3,spices
Cust_2019-09-02 07:17:00_no_32,2019-09-02 07:17:00,32,drinks,6,spices
Cust_2019-09-02 07:17:00_no_33,2019-09-02 07:17:00,33,fruit,4,drinks
Cust_2019-09-02 07:17:00_no_34,2019-09-02 07:17:00,34,spices,3,fruit
Cust_2019-09-02 07:17:00_no_6,2019-09-02 07:17:00,6,spices,3,spices
Cust_2019-09-02 07:18:00_no_25,2019-09-02 07:18:00,25,spices,3,spices
Cust_2019-09-02 07:18:00_no_29,2019-09-02 07:18:00,29,checkout,0,spices
Cust_2019-09-02 07:18:00_no_30,2019-09-02 07:18:00,30,drinks,6,checkout
Cust_2019-09-02 07:18:00_no_31,2019-09-02 07:18:00,31,checkout,0,drinks
Cust_2019-09-02 07:18:00_no_34,2019-09-02 07:18:00,34,drinks,6,checkout
Cust_2019-09-02 07:18:00_no_35,2019-09-02 07:18:00,35,dairy,5,drinks
Cust_2019-09-02 07:18:00_no_6,2019-09-02 07:18:00,6,drinks,6,dairy
Cust_2019-09-02 07:19:00_no_25,2019-09-02 07:19:00,25,drinks,6,drinks
Cust_2019-09-02 07:19:00_no_27,2019-09-02 07:19:00,27,dairy,5,drinks
Cust_2019-09-02 07:19:00_no_28,2019-09-02 07:19:00,28,checkout,0,dairy
Cust_2019-09-02 07:19:00_no_30,2019-09-02 07:19:00,30,fruit,4,checkout
Cust_2019-09-02 07:19:00_no_35,2019-09-02 07:19:00,35,drinks,6,fruit
Cust_2019-09-02 07:20:00_no_19,2019-09-02 07:20:00,19,checkout,0,drinks
Cust_2019-09-02 07:20:00_no_24,2019-09-02 07:20:00,24,checkout,0,checkout
Cust_2019-09-02 07:20:00_no_26,2019-09-02 07:20:00,26,dairy,5,checkout
Cust_2019-09-02 07:20:00_no_30,2019-09-02 07:20:00,30,dairy,5,dairy
Cust_2019-09-02 07:20:00_no_32,2019-09-02 07:20:00,32,checkout,0,dairy
Cust_2019-09-02 07:20:00_no_33,2019-09-02 07:20:00,33,dairy,5,checkout
Cust_2019-09-02 07:20:00_no_36,2019-09-02 07:20:00,36,dairy,5,dairy
Cust_2019-09-02 07:21:00_no_30,2019-09-02 07:21:00,30,fruit,4,dairy
Cust_2019-09-02 07:21:00_no_36,2019-09-02 07:21:00,36,checkout,0,fruit
Cust_2019-09-02 07:22:00_no_17,2019-09-02 07:22:00,17,checkout,0,checkout
Cust_2019-09-02 07:22:00_no_25,2019-09-02 07:22:00,25,checkout,0,checkout
Cust_2019-09-02 07:22:00_no_33,2019-09-02 07:22:00,33,spices,3,checkout
Cust_2019-09-02 07:22:00_no_35,2019-09-02 07:22:00,35,checkout,0,spices
Cust_2019-09-02 07:22:00_no_37,2019-09-02 07:22:00,37,fruit,4,checkout
Cust_2019-09-02 07:22:00_no_38,2019-09-02 07:22:00,38,fruit,4,fruit
Cust_2019-09-02 07:23:00_no_30,2019-09-02 07:23:00,30,checkout,0,fruit
Cust_2019-09-02 07:23:00_no_33,2019-09-02 07:23:00,33,dairy,5,checkout
Cust_2019-09-02 07:24:00_no_26,2019-09-02 07:24:00,26,checkout,0,dairy
Cust_2019-09-02 07:24:00_no_33,2019-09-02 07:24:00,33,drinks,6,checkout
Cust_2019-09-02 07:25:00_no_34,2019-09-02 07:25:00,34,spices,3,drinks
Cust_2019-09-02 07:25:00_no_6,2019-09-02 07:25:00,6,spices,3,spices
Cust_2019-09-02 07:26:00_no_33,2019-09-02 07:26:00,33,spices,3,spices
Cust_2019-09-02 07:26:00_no_34,2019-09-02 07:26:00,34,fruit,4,spices
Cust_2019-09-02 07:26:00_no_37,2019-09-02 07:26:00,37,checkout,0,fruit
Cust_2019-09-02 07:26:00_no_38,2019-09-02 07:26:00,38,dairy,5,checkout
Cust_2019-09-02 07:26:00_no_39,2019-09-02 07:26:00,39,dairy,5,dairy
Cust_2019-09-02 07:26:00_no_40,2019-09-02 07:26:00,40,dairy,5,dairy
Cust_2019-09-02 07:26:00_no_41,2019-09-02 07:26:00,41,drinks,6,dairy
Cust_2019-09-02 07:26:00_no_42,2019-09-02 07:26:00,42,dairy,5,drinks
Cust_2019-09-02 07:26:00_no_43,2019-09-02 07:26:00,43,fruit,4,dairy
Cust_2019-09-02 07:26:00_no_44,2019-09-02 07:26:00,44,fruit,4,fruit
Cust_2019-09-02 07:26:00_no_45,2019-09-02 07:26:00,45,spices,3,fruit
Cust_2019-09-02 07:26:00_no_46,2019-09-02 07:26:00,46,fruit,4,spices
Cust_2019-09-02 07:26:00_no_6,2019-09-02 07:26:00,6,dairy,5,fruit
Cust_2019-09-02 07:27:00_no_33,2019-09-02 07:27:00,33,drinks,6,dairy
Cust_2019-09-02 07:27:00_no_34,2019-09-02 07:27:00,34,checkout,0,drinks
Cust_2019-09-02 07:27:00_no_39,2019-09-02 07:27:00,39,checkout,0,checkout
Cust_2019-09-02 07:27:00_no_41,2019-09-02 07:27:00,41,dairy,5,checkout
Cust_2019-09-02 07:27:00_no_44,2019-09-02 07:27:00,44,checkout,0,dairy
Cust_2019-09-02 07:27:00_no_45,2019-09-02 07:27:00,45,dairy,5,checkout
Cust_2019-09-02 07:27:00_no_46,2019-09-02 07:27:00,46,checkout,0,dairy
Cust_2019-09-02 07:27:00_no_47,2019-09-02 07:27:00,47,drinks,6,checkout
Cust_2019-09-02 07:27:00_no_48,2019-09-02 07:27:00,48,drinks,6,drinks
Cust_2019-09-02 07:27:00_no_49,2019-09-02 07:27:00,49,spices,3,drinks
Cust_2019-09-02 07:27:00_no_6,2019-09-02 07:27:00,6,spices,3,spices
Cust_2019-09-02 07:28:00_no_41,2019-09-02 07:28:00,41,spices,3,spices
Cust_2019-09-02 07:28:00_no_43,2019-09-02 07:28:00,43,dairy,5,spices
Cust_2019-09-02 07:28:00_no_47,2019-09-02 07:28:00,47,fruit,4,dairy
Cust_2019-09-02 07:28:00_no_48,2019-09-02 07:28:00,48,checkout,0,fruit
Cust_2019-09-02 07:28:00_no_49,2019-09-02 07:28:00,49,checkout,0,checkout
Cust_2019-09-02 07:28:00_no_50,2019-09-02 07:28:00,50,fruit,4,checkout
Cust_2019-09-02 07:28:00_no_51,2019-09-02 07:28:00,51,fruit,4,fruit
Cust_2019-09-02 07:29:00_no_38,2019-09-02 07:29:00,38,checkout,0,fruit
Cust_2019-09-02 07:29:00_no_40,2019-09-02 07:29:00,40,spices,3,checkout
Cust_2019-09-02 07:29:00_no_50,2019-09-02 07:29:00,50,drinks,6,spices
Cust_2019-09-02 07:29:00_no_52,2019-09-02 07:29:00,52,drinks,6,drinks
Cust_2019-09-02 07:29:00_no_53,2019-09-02 07:29:00,53,fruit,4,drinks
Cust_2019-09-02 07:29:00_no_6,2019-09-02 07:29:00,6,checkout,0,fruit
Cust_2019-09-02 07:30:00_no_40,2019-09-02 07:30:00,40,checkout,0,checkout
Cust_2019-09-02 07:30:00_no_41,2019-09-02 07:30:00,41,drinks,6,checkout
Cust_2019-09-02 07:30:00_no_42,2019-09-02 07:30:00,42,spices,3,drinks
Cust_2019-09-02 07:30:00_no_45,2019-09-02 07:30:00,45,fruit,4,spices
Cust_2019-09-02 07:30:00_no_54,2019-09-02 07:30:00,54,spices,3,fruit
Cust_2019-09-02 07:30:00_no_55,2019-09-02 07:30:00,55,spices,3,spices
Cust_2019-09-02 07:30:00_no_56,2019-09-02 07:30:00,56,fruit,4,spices
Cust_2019-09-02 07:30:00_no_57,2019-09-02 07:30:00,57,fruit,4,fruit
Cust_2019-09-02 07:30:00_no_58,2019-09-02 07:30:00,58,drinks,6,fruit
Cust_2019-09-02 07:30:00_no_59,2019-09-02 07:30:00,59,dairy,5,drinks
Cust_2019-09-02 07:31:00_no_45,2019-09-02 07:31:00,45,drinks,6,dairy
Cust_2019-09-02 07:31:00_no_50,2019-09-02 07:31:00,50,spices,3,drinks
Cust_2019-09-02 07:31:00_no_51,2019-09-02 07:31:00,51,dairy,5,spices
Cust_2019-09-02 07:31:00_no_52,2019-09-02 07:31:00,52,spices,3,dairy
Cust_2019-09-02 07:31:00_no_54,2019-09-02 07:31:00,54,dairy,5,spices
Cust_2019-09-02 07:31:00_no_57,2019-09-02 07:31:00,57,checkout,0,dairy
Cust_2019-09-02 07:32:00_no_42,2019-09-02 07:32:00,42,fruit,4,checkout
Cust_2019-09-02 07:32:00_no_47,2019-09-02 07:32:00,47,dairy,5,fruit
Cust_2019-09-02 07:32:00_no_50,2019-09-02 07:32:00,50,checkout,0,dairy
Cust_2019-09-02 07:32:00_no_53,2019-09-02 07:32:00,53,checkout,0,checkout
Cust_2019-09-02 07:32:00_no_55,2019-09-02 07:32:00,55,dairy,5,checkout
Cust_2019-09-02 07:32:00_no_58,2019-09-02 07:32:00,58,checkout,0,dairy
Cust_2019-09-02 07:33:00_no_27,2019-09-02 07:33:00,27,checkout,0,checkout
Cust_2019-09-02 07:33:00_no_33,2019-09-02 07:33:00,33,checkout,0,checkout
Cust_2019-09-02 07:33:00_no_41,2019-09-02 07:33:00,41,checkout,0,checkout
Cust_2019-09-02 07:33:00_no_42,2019-09-02 07:33:00,42,dairy,5,checkout
Cust_2019-09-02 07:33:00_no_51,2019-09-02 07:33:00,51,checkout,0,dairy
Cust_2019-09-02 07:33:00_no_52,2019-09-02 07:33:00,52,fruit,4,checkout
Cust_2019-09-02 07:33:00_no_56,2019-09-02 07:33:00,56,dairy,5,fruit
Cust_2019-09-02 07:33:00_no_60,2019-09-02 07:33:00,60,fruit,4,dairy
Cust_2019-09-02 07:33:00_no_61,2019-09-02 07:33:00,61,spices,3,fruit
Cust_2019-09-02 07:33:00_no_62,2019-09-02 07:33:00,62,spices,3,spices
Cust_2019-09-02 07:34:00_no_45,2019-09-02 07:34:00,45,fruit,4,spices
Cust_2019-09-02 07:34:00_no_56,2019-09-02 07:34:00,56,spices,3,fruit
Cust_2019-09-02 07:34:00_no_61,2019-09-02 07:34:00,61,drinks,6,spices
Cust_2019-09-02 07:35:00_no_55,2019-09-02 07:35:00,55,checkout,0,drinks
Cust_2019-09-02 07:35:00_no_56,2019-09-02 07:35:00,56,drinks,6,checkout
Cust_2019-09-02 07:35:00_no_59,2019-09-02 07:35:00,59,drinks,6,drinks
Cust_2019-09-02 07:35:00_no_60,2019-09-02 07:35:00,60,drinks,6,drinks
Cust_2019-09-02 07:35:00_no_62,2019-09-02 07:35:00,62,drinks,6,drinks
Cust_2019-09-02 07:36:00_no_45,2019-09-02 07:36:00,45,dairy,5,drinks
Cust_2019-09-02 07:36:00_no_47,2019-09-02 07:36:00,47,checkout,0,dairy
Cust_2019-09-02 07:36:00_no_52,2019-09-02 07:36:00,52,drinks,6,checkout
Cust_2019-09-02 07:36:00_no_60,2019-09-02 07:36:00,60,checkout,0,drinks
Cust_2019-09-02 07:37:00_no_52,2019-09-02 07:37:00,52,fruit,4,checkout
Cust_2019-09-02 07:37:00_no_54,2019-09-02 07:37:00,54,checkout,0,fruit
Cust_2019-09-02 07:38:00_no_59,2019-09-02 07:38:00,59,fruit,4,checkout
Cust_2019-09-02 07:38:00_no_62,2019-09-02 07:38:00,62,checkout,0,fruit
Cust_2019-09-02 07:39:00_no_43,2019-09-02 07:39:00,43,fruit,4,checkout
Cust_2019-09-02 07:39:00_no_52,2019-09-02 07:39:00,52,checkout,0,fruit
Cust_2019-09-02 07:39:00_no_59,2019-09-02 07:39:00,59,checkout,0,checkout
Cust_2019-09-02 07:39:00_no_63,2019-09-02 07:39:00,63,spices,3,checkout
Cust_2019-09-02 07:40:00_no_56,2019-09-02 07:40:00,56,checkout,0,spices
Cust_2019-09-02 07:40:00_no_63,2019-09-02 07:40:00,63,drinks,6,checkout
Cust_2019-09-02 07:40:00_no_64,2019-09-02 07:40:00,64,drinks,6,drinks
Cust_2019-09-02 07:40:00_no_65,2019-09-02 07:40:00,65,drinks,6,drinks
Cust_2019-09-02 07:40:00_no_66,2019-09-02 07:40:00,66,spices,3,drinks
Cust_2019-09-02 07:41:00_no_43,2019-09-02 07:41:00,43,dairy,5,spices
Cust_2019-09-02 07:41:00_no_61,2019-09-02 07:41:00,61,checkout,0,dairy
Cust_2019-09-02 07:41:00_no_63,2019-09-02 07:41:00,63,fruit,4,checkout
Cust_2019-09-02 07:42:00_no_64,2019-09-02 07:42:00,64,fruit,4,fruit
Cust_2019-09-02 07:42:00_no_67,2019-09-02 07:42:00,67,dairy,5,fruit
Cust_2019-09-02 07:42:00_no_68,2019-09-02 07:42:00,68,spices,3,dairy
Cust_2019-09-02 07:42:00_no_69,2019-09-02 07:42:00,69,fruit,4,spices
Cust_2019-09-02 07:42:00_no_70,2019-09-02 07:42:00,70,spices,3,fruit
Cust_2019-09-02 07:43:00_no_43,2019-09-02 07:43:00,43,checkout,0,spices
Cust_2019-09-02 07:43:00_no_63,2019-09-02 07:43:00,63,dairy,5,checkout
Cust_2019-09-02 07:43:00_no_64,2019-09-02 07:43:00,64,drinks,6,dairy
Cust_2019-09-02 07:43:00_no_66,2019-09-02 07:43:00,66,drinks,6,drinks
Cust_2019-09-02 07:43:00_no_69,2019-09-02 07:43:00,69,checkout,0,drinks
Cust_2019-09-02 07:43:00_no_71,2019-09-02 07:43:00,71,dairy,5,checkout
Cust_2019-09-02 07:43:00_no_72,2019-09-02 07:43:00,72,spices,3,dairy
Cust_2019-09-02 07:43:00_no_73,2019-09-02 07:43:00,73,dairy,5,spices
Cust_2019-09-02 07:43:00_no_74,2019-09-02 07:43:00,74,spices,3,dairy
Cust_2019-09-02 07:43:00_no_75,2019-09-02 07:43:00,75,spices,3,spices
Cust_2019-09-02 07:44:00_no_42,2019-09-02 07:44:00,42,checkout,0,spices
Cust_2019-09-02 07:44:00_no_63,2019-09-02 07:44:00,63,fruit,4,checkout
Cust_2019-09-02 07:44:00_no_67,2019-09-02 07:44:00,67,spices,3,fruit
Cust_2019-09-02 07:44:00_no_70,2019-09-02 07:44:00,70,drinks,6,spices
Cust_2019-09-02 07:44:00_no_71,2019-09-02 07:44:00,71,fruit,4,drinks
Cust_2019-09-02 07:44:00_no_73,2019-09-02 07:44:00,73,checkout,0,fruit
Cust_2019-09-02 07:44:00_no_75,2019-09-02 07:44:00,75,dairy,5,checkout
Cust_2019-09-02 07:44:00_no_76,2019-09-02 07:44:00,76,drinks,6,dairy
Cust_2019-09-02 07:44:00_no_77,2019-09-02 07:44:00,77,fruit,4,drinks
Cust_2019-09-02 07:44:00_no_78,2019-09-02 07:44:00,78,spices,3,fruit
Cust_2019-09-02 07:44:00_no_79,2019-09-02 07:44:00,79,dairy,5,spices
Cust_2019-09-02 07:45:00_no_64,2019-09-02 07:45:00,64,checkout,0,dairy
Cust_2019-09-02 07:45:00_no_66,2019-09-02 07:45:00,66,spices,3,checkout
Cust_2019-09-02 07:45:00_no_68,2019-09-02 07:45:00,68,drinks,6,spices
Cust_2019-09-02 07:45:00_no_72,2019-09-02 07:45:00,72,drinks,6,drinks
Cust_2019-09-02 07:45:00_no_74,2019-09-02 07:45:00,74,fruit,4,drinks
Cust_2019-09-02 07:45:00_no_75,2019-09-02 07:45:00,75,drinks,6,fruit
Cust_2019-09-02 07:45:00_no_78,2019-09-02 07:45:00,78,dairy,5,drinks
Cust_2019-09-02 07:46:00_no_63,2019-09-02 07:46:00,63,drinks,6,dairy
Cust_2019-09-02 07:46:00_no_65,2019-09-02 07:46:00,65,dairy,5,drinks
Cust_2019-09-02 07:46:00_no_67,2019-09-02 07:46:00,67,drinks,6,dairy
Cust_2019-09-02 07:46:00_no_74,2019-09-02 07:46:00,74,checkout,0,drinks
Cust_2019-09-02 07:47:00_no_65,2019-09-02 07:47:00,65,checkout,0,checkout
Cust_2019-09-02 07:47:00_no_66,2019-09-02 07:47:00,66,checkout,0,checkout
Cust_2019-09-02 07:47:00_no_70,2019-09-02 07:47:00,70,checkout,0,checkout
Cust_2019-09-02 07:47:00_no_75,2019-09-02 07:47:00,75,spices,3,checkout
Cust_2019-09-02 07:47:00_no_80,2019-09-02 07:47:00,80,dairy,5,spices
Cust_2019-09-02 07:47:00_no_81,2019-09-02 07:47:00,81,drinks,6,dairy
Cust_2019-09-02 07:47:00_no_82,2019-09-02 07:47:00,82,drinks,6,drinks
Cust_2019-09-02 07:47:00_no_83,2019-09-02 07:47:00,83,fruit,4,drinks
Cust_2019-09-02 07:48:00_no_63,2019-09-02 07:48:00,63,checkout,0,fruit
Cust_2019-09-02 07:48:00_no_67,2019-09-02 07:48:00,67,checkout,0,checkout
Cust_2019-09-02 07:48:00_no_68,2019-09-02 07:48:00,68,fruit,4,checkout
Cust_2019-09-02 07:48:00_no_75,2019-09-02 07:48:00,75,drinks,6,fruit
Cust_2019-09-02 07:48:00_no_78,2019-09-02 07:48:00,78,checkout,0,drinks
Cust_2019-09-02 07:48:00_no_80,2019-09-02 07:48:00,80,drinks,6,checkout
Cust_2019-09-02 07:48:00_no_81,2019-09-02 07:48:00,81,fruit,4,drinks
Cust_2019-09-02 07:48:00_no_83,2019-09-02 07:48:00,83,dairy,5,fruit
Cust_2019-09-02 07:48:00_no_84,2019-09-02 07:48:00,84,fruit,4,dairy
Cust_2019-09-02 07:48:00_no_85,2019-09-02 07:48:00,85,drinks,6,fruit
Cust_2019-09-02 07:49:00_no_76,2019-09-02 07:49:00,76,dairy,5,drinks
Cust_2019-09-02 07:49:00_no_81,2019-09-02 07:49:00,81,checkout,0,dairy
Cust_2019-09-02 07:49:00_no_83,2019-09-02 07:49:00,83,checkout,0,checkout
Cust_2019-09-02 07:49:00_no_85,2019-09-02 07:49:00,85,spices,3,checkout
Cust_2019-09-02 07:49:00_no_86,2019-09-02 07:49:00,86,spices,3,spices
Cust_2019-09-02 07:49:00_no_87,2019-09-02 07:49:00,87,drinks,6,spices
Cust_2019-09-02 07:49:00_no_88,2019-09-02 07:49:00,88,dairy,5,drinks
Cust_2019-09-02 07:49:00_no_89,2019-09-02 07:49:00,89,drinks,6,dairy
Cust_2019-09-02 07:49:00_no_90,2019-09-02 07:49:00,90,spices,3,drinks
Cust_2019-09-02 07:50:00_no_68,2019-09-02 07:50:00,68,spices,3,spices
Cust_2019-09-02 07:50:00_no_75,2019-09-02 07:50:00,75,checkout,0,spices
Cust_2019-09-02 07:50:00_no_76,2019-09-02 07:50:00,76,drinks,6,checkout
Cust_2019-09-02 07:50:00_no_84,2019-09-02 07:50:00,84,drinks,6,drinks
Cust_2019-09-02 07:50:00_no_85,2019-09-02 07:50:00,85,checkout,0,drinks
Cust_2019-09-02 07:50:00_no_86,2019-09-02 07:50:00,86,drinks,6,checkout
Cust_2019-09-02 07:50:00_no_87,2019-09-02 07:50:00,87,checkout,0,drinks
Cust_2019-09-02 07:50:00_no_89,2019-09-02 07:50:00,89,checkout,0,checkout
Cust_2019-09-02 07:50:00_no_90,2019-09-02 07:50:00,90,checkout,0,checkout
Cust_2019-09-02 07:51:00_no_71,2019-09-02 07:51:00,71,checkout,0,checkout
Cust_2019-09-02 07:51:00_no_76,2019-09-02 07:51:00,76,checkout,0,checkout
Cust_2019-09-02 07:51:00_no_86,2019-09-02 07:51:00,86,spices,3,checkout
Cust_2019-09-02 07:52:00_no_68,2019-09-02 07:52:00,68,checkout,0,spices
Cust_2019-09-02 07:52:00_no_72,2019-09-02 07:52:00,72,checkout,0,checkout
Cust_2019-09-02 07:52:00_no_77,2019-09-02 07:52:00,77,checkout,0,checkout
Cust_2019-09-02 07:52:00_no_82,2019-09-02 07:52:00,82,checkout,0,checkout
Cust_2019-09-02 07:52:00_no_91,2019-09-02 07:52:00,91,fruit,4,checkout
Cust_2019-09-02 07:52:00_no_92,2019-09-02 07:52:00,92,dairy,5,fruit
Cust_2019-09-02 07:52:00_no_93,2019-09-02 07:52:00,93,dairy,5,dairy
Cust_2019-09-02 07:52:00_no_94,2019-09-02 07:52:00,94,drinks,6,dairy
Cust_2019-09-02 07:53:00_no_79,2019-09-02 07:53:00,79,drinks,6,drinks
Cust_2019-09-02 07:53:00_no_80,2019-09-02 07:53:00,80,spices,3,drinks
Cust_2019-09-02 07:53:00_no_86,2019-09-02 07:53:00,86,fruit,4,spices
Cust_2019-09-02 07:53:00_no_93,2019-09-02 07:53:00,93,checkout,0,fruit
Cust_2019-09-02 07:53:00_no_94,2019-09-02 07:53:00,94,dairy,5,checkout
Cust_2019-09-02 07:53:00_no_95,2019-09-02 07:53:00,95,drinks,6,dairy
Cust_2019-09-02 07:53:00_no_96,2019-09-02 07:53:00,96,dairy,5,drinks
Cust_2019-09-02 07:54:00_no_79,2019-09-02 07:54:00,79,checkout,0,dairy
Cust_2019-09-02 07:54:00_no_80,2019-09-02 07:54:00,80,dairy,5,checkout
Cust_2019-09-02 07:54:00_no_84,2019-09-02 07:54:00,84,spices,3,dairy
Cust_2019-09-02 07:54:00_no_94,2019-09-02 07:54:00,94,checkout,0,spices
Cust_2019-09-02 07:54:00_no_96,2019-09-02 07:54:00,96,checkout,0,checkout
Cust_2019-09-02 07:54:00_no_97,2019-09-02 07:54:00,97,fruit,4,checkout
Cust_2019-09-02 07:55:00_no_45,2019-09-02 07:55:00,45,checkout,0,fruit
Cust_2019-09-02 07:55:00_no_84,2019-09-02 07:55:00,84,dairy,5,checkout
Cust_2019-09-02 07:55:00_no_86,2019-09-02 07:55:00,86,dairy,5,dairy
Cust_2019-09-02 07:56:00_no_100,2019-09-02 07:56:00,100,drinks,6,dairy
Cust_2019-09-02 07:56:00_no_101,2019-09-02 07:56:00,101,fruit,4,drinks
Cust_2019-09-02 07:56:00_no_102,2019-09-02 07:56:00,102,dairy,5,fruit
Cust_2019-09-02 07:56:00_no_91,2019-09-02 07:56:00,91,dairy,5,dairy
